Pozisyon,Oyuncu,GW1,GW2,GW3,GW4,GW5,GW6,GW7,Toplam Puan,Median,Price
Defans,Marcos Senesi Barón,2,9,14,3,9,7,2,46,8,4.9
Defans,Marc Guéhi,6,2,15,6,7,7,0,43,6.5,4.8
Defans,Omar Alderete,4,1,4,9,4,17,0,39,4,4.1
Defans,Gabriel dos Santos Magalhães,6,6,2,9,2,13,0,38,6,6.2
Defans,Tino Livramento,9,4,6,6,6,6,0,37,6,5.1
Defans,Jurriën Timber,0,24,2,8,1,2,0,37,2,5.8
Defans,Riccardo Calafiori,13,13,2,5,2,1,0,36,3.5,5.7
Defans,Trevoh Chalobah,6,8,13,3,8,-3,0,35,7,5.2
Defans,Tyrick Mitchell,9,1,6,6,8,4,0,34,6,5
Defans,Maxence Lacroix,8,3,11,6,2,4,0,34,5,5.1
Defans,Dan Burn,9,2,6,6,9,0,0,32,6,5
Defans,Adrien Truffert,0,6,7,2,9,3,5,32,4.5,4.5
Defans,Michael Keane,2,8,3,6,1,11,0,31,4.5,4.5
Defans,Cristian Romero,6,7,2,12,2,2,0,31,4,5.1
Defans,Chris Richards,6,2,8,6,4,4,0,30,5,4.5
Defans,Micky van de Ven,6,6,1,14,1,2,0,30,4,4.8
Defans,Joe Rodon,7,2,7,4,2,7,0,29,5.5,4
Defans,Joachim Andersen,2,4,3,10,4,3,3,29,3.5,4.5
Defans,Daniel Muñoz Mejía,5,5,9,5,2,2,0,28,5,5.6
Defans,Virgil van Dijk,3,3,8,8,4,2,0,28,3.5,6.1
Forvet,Erling Haaland,13,2,9,13,9,16,0,62,11,14.4
Forvet,João Pedro Junqueira de Jesus,2,15,9,7,2,2,0,37,4.5,7.7
Forvet,Jarrod Bowen,2,2,9,2,9,9,0,33,5.5,7.7
Forvet,Hugo Ekitiké,11,9,2,2,8,0,0,32,5,8.7
Forvet,Richarlison de Andrade,13,4,2,1,9,2,0,31,3,6.8
Forvet,Igor Thiago Nascimento Rodrigues,6,2,6,1,2,13,0,30,4,6
Forvet,Wilson Isidor,5,1,8,2,9,2,0,27,3.5,5.6
Forvet,Viktor Gyökeres,1,12,1,6,2,2,0,24,2,9
Forvet,Chris Wood,13,2,2,1,2,2,0,22,2,7.4
Forvet,Francisco Evanilson de Lima Barbosa,1,2,8,5,2,2,2,22,2,7
Forvet,Lyle Foster,2,2,6,2,6,2,0,20,2,5
Forvet,Jean-Philippe Mateta,1,2,5,2,6,2,0,18,2,7.5
Forvet,Ollie Watkins,2,2,2,2,2,8,0,18,2,8.7
Forvet,Nick Woltemade,0,0,0,9,2,7,0,18,1,7.1
Forvet,Danny Welbeck,1,0,2,2,1,11,0,17,1.5,6.3
