Position,Player,GW1,GW2,GW3,GW4,GW5,GW6,GW7,Total Points,Team,Last Week Price (£m),Median Points,Weighted Avg Points,Chance of Playing Next Week,Appearances,Goals,Assists,Goals per Appearance,Assists per Appearance,Yellow Cards,Red Cards,Discipline Index
Defender,Jurriën Timber,0.0,24.0,2.0,8.0,1.0,2.0,11.0,48.0,Arsenal,5.8,2.0,6.67,Unknown,7,2,2,0.29,0.29,2,0,2
Defender,Gabriel dos Santos Magalhães,6.0,6.0,2.0,9.0,2.0,13.0,9.0,47.0,Arsenal,6.2,6.0,7.08,Likely to Play,7,1,0,0.14,0.0,0,0,0
Defender,Marc Guéhi,6.0,2.0,15.0,6.0,7.0,7.0,3.0,46.0,Crystal Palace,4.8,6.0,6.46,Unknown,7,1,2,0.14,0.29,0,0,0
Defender,Marcos Senesi Barón,2.0,9.0,14.0,3.0,9.0,7.0,2.0,46.0,Bournemouth,4.9,7.0,6.43,Unknown,7,0,2,0.0,0.29,1,0,1
Defender,Dan Burn,9.0,2.0,6.0,6.0,9.0,0.0,11.0,43.0,Newcastle,5.0,6.0,6.22,Unknown,7,0,1,0.0,0.14,2,0,2
Defender,Riccardo Calafiori,13.0,13.0,2.0,5.0,2.0,1.0,6.0,42.0,Arsenal,5.7,5.0,5.29,Unknown,7,1,2,0.14,0.29,3,0,3
Defender,Omar Alderete,4.0,1.0,4.0,9.0,4.0,17.0,0.0,39.0,Sunderland,4.1,4.0,5.89,Likely to Play,7,1,1,0.14,0.14,1,0,1
Defender,Maxence Lacroix,8.0,3.0,11.0,6.0,2.0,4.0,3.0,37.0,Crystal Palace,5.1,4.0,4.94,Unknown,7,0,1,0.0,0.14,1,0,1
Defender,Tino Livramento,9.0,4.0,6.0,6.0,6.0,6.0,0.0,37.0,Newcastle,5.1,6.0,4.92,Out,7,0,1,0.0,0.14,0,0,0
Defender,Daniel Muñoz Mejía,5.0,5.0,9.0,5.0,2.0,2.0,8.0,36.0,Crystal Palace,5.6,5.0,5.08,Unknown,7,1,1,0.14,0.14,3,0,3
